Date,Open,High,Low,Close,Volume
2017-06-30,3.985,3.99,3.9,3.9,825
2017-07-03,3.9,3.9,3.9,3.9,0
2017-07-05,3.5999,3.5999,3.5999,3.5999,1946
2017-07-06,3.59,3.59,3.59,3.59,200
2017-07-07,3.59,3.59,3.59,3.59,0
2017-07-10,3.169,3.4,3.169,3.4,6525
2017-07-11,3.6,4.0,3.6,3.71,12306
2017-07-12,3.98,3.98,3.8,3.8,639
2017-07-13,3.8,3.8,3.8,3.8,82
2017-07-14,3.8,3.8,3.8,3.8,28
2017-07-17,3.75,3.75,3.6551,3.75,3615
2017-07-18,3.75,3.75,3.75,3.75,15
2017-07-19,3.5748,3.59,3.4001,3.59,4936
2017-07-20,3.4,3.4001,3.4,3.4,4103
2017-07-21,3.11,3.49,3.11,3.49,448
2017-07-24,3.49,3.49,3.49,3.49,0
2017-07-25,3.49,3.49,3.49,3.49,0
2017-07-26,3.49,3.49,3.49,3.49,5
2017-07-27,3.411,3.411,3.4,3.4,200
2017-07-28,3.45,3.45,3.03,3.4,5768
2017-07-31,3.4,3.4,3.4,3.4,1001
2017-08-01,3.2,3.2,3.102,3.102,451
2017-08-02,3.25,3.3,3.2,3.2,4030
2017-08-03,3.2465,3.2465,2.97,2.97,2110
2017-08-04,3.3,3.411,3.3,3.41,5701
2017-08-07,3.41,3.41,3.41,3.41,8
2017-08-08,3.06,3.06,3.03,3.03,1032
2017-08-09,3.05,3.085,3.0,3.085,3559
2017-08-10,3.0,3.2455,3.0,3.05,3323
2017-08-11,3.26,3.3,3.26,3.3,1602
2017-08-14,3.3,3.3,3.3,3.3,12
2017-08-15,3.3,3.3,3.3,3.3,1
2017-08-16,3.2009,3.2009,3.08,3.08,2231
2017-08-17,3.0,3.24,2.8,3.24,3001
2017-08-18,3.24,3.24,3.24,3.24,7
2017-08-21,3.3212,3.3212,3.25,3.25,7907
2017-08-22,3.26,3.26,3.26,3.26,230
2017-08-23,3.25,3.25,3.25,3.25,1264
2017-08-24,3.26,3.26,3.26,3.26,1542
2017-08-25,3.26,3.26,3.26,3.26,10
2017-08-28,3.33,3.33,3.33,3.33,105
2017-08-29,3.33,3.33,3.33,3.33,3
2017-08-30,3.33,3.33,3.33,3.33,1
2017-08-31,3.25,3.25,3.25,3.25,3013
2017-09-01,3.26,3.26,3.25,3.25,8141
2017-09-05,3.25,3.25,3.25,3.25,0
2017-09-06,3.25,3.25,3.25,3.25,71
2017-09-07,3.26,3.375,3.0,3.0,14923
2017-09-08,3.02,3.212,3.02,3.212,1000
2017-09-11,3.05,3.15,2.773,2.773,13641
2017-09-12,2.7,2.77,2.7,2.77,1001
2017-09-13,2.59,2.6,2.59,2.6,3750
2017-09-14,2.6,3.0,2.6,3.0,5228
2017-09-15,3.25,3.45,3.1,3.1,20707
2017-09-18,3.01,3.01,3.01,3.01,201
2017-09-19,3.01,3.01,3.01,3.01,0
2017-09-20,3.1,3.85,3.1,3.8337,34435
2017-09-21,3.5,3.5,3.4,3.4,13527
2017-09-22,3.4,3.5682,3.21,3.237,15267
