Date,Open,High,Low,Close,Volume
2015-01-02,15.629,15.7375,15.348,15.426,55664000
2015-01-05,15.3505,15.419,15.0425,15.1095,55484000
2015-01-06,15.112,15.15,14.619,14.7645,70380000
2015-01-07,14.875,15.064,14.7665,14.921,52806000
2015-01-08,15.016,15.157,14.8055,15.023,61768000
2015-01-09,15.074,15.1435,14.834,14.8465,51848000
2015-01-12,14.878,14.9255,14.464,14.5705,68428000
2015-01-13,14.874,15.075,14.6615,14.737,82728000
2015-01-14,14.5965,14.7955,14.325,14.6635,110774000
2015-01-15,14.7,14.8,14.341,14.3475,88384000
2015-01-16,14.314,14.5395,14.2625,14.537,69564000
2015-01-20,14.6295,14.668,14.3195,14.472,61502000
2015-01-21,14.482,15.3,14.363,14.8625,201302000
2015-01-22,15.0,15.6125,15.0,15.516,107252000
2015-01-23,15.404,15.8465,15.386,15.6195,89928000
2015-01-26,15.591,15.65,15.376,15.483,63394000
2015-01-27,15.315,15.512,15.1315,15.3375,58406000
2015-01-28,15.4905,15.5755,15.19,15.1955,61276000
2015-01-29,15.2365,15.64,14.9665,15.589,173132000
2015-01-30,17.316,17.975,17.037001,17.7265,477122000
2015-02-02,17.5025,18.25,17.5005,18.2235,204638000
2015-02-03,18.0145,18.391,18.0105,18.1775,124252000
2015-02-04,17.919,18.375,17.9115,18.2375,83398000
2015-02-05,18.3,18.94,18.295,18.6945,144952000
2015-02-06,18.7435,18.7995,18.5505,18.714,77848000
2015-02-09,18.55,18.7205,18.36,18.528,54492000
2015-02-10,18.5595,18.715,18.4255,18.65,45744000
2015-02-11,18.5615,18.855,18.555,18.757,55730000
2015-02-12,18.755,18.9255,18.6575,18.8585,55822000
2015-02-13,18.9205,19.15,18.8505,19.091499,69502000
2015-02-17,18.886,18.9995,18.6335,18.7715,73464000
2015-02-18,18.689,18.837,18.6425,18.6685,53012000
2015-02-19,18.6745,19.094,18.6715,18.95,59076000
2015-02-20,18.931,19.185,18.792,19.183,65160000
2015-02-23,19.172,19.227,18.9,19.007,43540000
2015-02-24,18.9325,19.024,18.808,18.9295,38416000
2015-02-25,18.8635,19.3925,18.827,19.2685,63490000
2015-02-26,19.2035,19.4685,19.164,19.24,53742000
2015-02-27,19.2,19.2995,18.9895,19.0079994,50646000
2015-03-02,19.0425,19.295,18.974,19.283,42784000
2015-03-03,19.1975,19.305,19.08,19.2305,38930000
2015-03-04,19.2855,19.395,19.1095,19.136,45182000
2015-03-05,19.2805,19.421,19.1945,19.3915,53870000
2015-03-06,19.276,19.35,18.944,19.0044994,52540000
2015-03-09,18.92,18.9665,18.764,18.928,46228000
2015-03-10,18.8725,18.8885,18.459,18.4755,62420000
2015-03-11,18.5305,18.6675,18.313,18.3185,49902000
2015-03-12,18.441,18.775,18.376,18.712,56200000
2015-03-13,18.576,18.6995,18.334,18.529,52234000
2015-03-16,18.519,18.697,18.336,18.6675,47082000
2015-03-17,18.5555,18.725,18.482,18.596,40740000
2015-03-18,18.4985,18.7995,18.335,18.757,53082000
2015-03-19,18.6935,18.8555,18.6095,18.662,38314000
2015-03-20,18.8145,18.9685,18.796,18.9245,75272000
2015-03-23,18.9035,19.088499,18.747,18.7555,44786000
2015-03-24,18.6995,18.762,18.6135,18.7045,44564000
2015-03-25,18.7585,19.025,18.5145,18.548,68590000
2015-03-26,18.4795,18.57,18.2825,18.3675,58600000
2015-03-27,18.3555,18.6585,18.3285,18.528,52196000
2015-03-30,18.5935,18.806,18.5775,18.7295,36418000
2015-03-31,18.662,18.885,18.5755,18.605,50122000
2015-04-01,18.605,18.658,18.417,18.513,49162000
2015-04-02,18.525,18.664,18.45,18.6125,37506000
2015-04-06,18.505,19.01,18.468,18.852,61014000
2015-04-07,18.8075,18.9655,18.7015,18.7205,39098000
2015-04-08,18.733,19.079,18.7325,19.059999,52728000
2015-04-09,19.033001,19.221,18.94,19.177,47846000
2015-04-10,19.2155,19.356,19.066,19.1325,51470000
2015-04-13,19.1765,19.264,19.007,19.118,37890000
2015-04-14,19.1755,19.3905,19.060499,19.2555,51672000
2015-04-15,19.2325,19.289,19.082001,19.1725,38664000
2015-04-16,19.1845,19.3725,19.1775,19.302,41608000
2015-04-17,19.1315,19.178,18.72,18.778,76794000
2015-04-20,18.9275,19.597,18.85,19.4755,100322000
2015-04-21,19.5655,19.73,19.34,19.559,92870000
2015-04-22,19.5955,19.714,19.4,19.49,69494000
2015-04-23,19.5105,19.594,19.3075,19.4995,159600000
2015-04-24,21.95,22.6325,21.95,22.255,343538000
2015-04-27,22.193,22.3495,21.8705,21.928,108618000
2015-04-28,21.9255,21.95,21.402,21.4655,82810000
2015-04-29,21.3375,21.712,21.3015,21.4685,72434000
2015-04-30,21.3555,21.5875,20.962,21.089001,72958000
2015-05-01,21.191,21.282,20.8,21.1435,71316000
2015-05-04,21.24,21.4885,21.121,21.152,45408000
2015-05-05,21.1425,21.3755,21.051001,21.0595,57128000
2015-05-06,21.071501,21.136,20.7275,20.955,51050000
2015-05-07,21.2075,21.425,21.1425,21.344,55322000
2015-05-08,21.5375,21.76,21.5085,21.6845,58176000
2015-05-11,21.6255,21.95,21.5685,21.6425,47874000
2015-05-12,21.554,21.6625,21.3355,21.551,38956000
2015-05-13,21.499,21.6765,21.29,21.3435,39926000
2015-05-14,21.4725,21.65,21.3505,21.614,37770000
2015-05-15,21.4,21.52,21.215,21.3,84806000
2015-05-18,21.3,21.3635,21.073,21.262,47804000
2015-05-19,21.2435,21.412,21.0315,21.085501,49284000
2015-05-20,21.030001,21.355,20.918,21.193,43924000
2015-05-21,21.4,21.845,21.4,21.5815,82428000
2015-05-22,21.5775,21.622,21.3805,21.3815,40412000
2015-05-26,21.31,21.35,21.1,21.2735,44884000
2015-05-27,21.3725,21.5925,21.2505,21.571,44622000
2015-05-28,21.4855,21.5675,21.2735,21.3285,38248000
2015-05-29,21.3615,21.625,21.3615,21.4615,60322000
2015-06-01,21.52,21.658,21.31,21.546,45066000
2015-06-02,21.5035,21.6615,21.3125,21.5495,33378000
2015-06-03,21.72,21.9195,21.6375,21.8295,54558000
2015-06-04,21.72,21.838,21.463,21.539,50216000
2015-06-05,21.483,21.54,21.325,21.3475,38158000
2015-06-08,21.281,21.34,21.071501,21.175,43450000
2015-06-09,21.148,21.3745,20.957,21.274,45774000
2015-06-10,21.323,21.61,21.283,21.5385,43446000
2015-06-11,21.6145,21.9445,21.5735,21.6485,58450000
2015-06-12,21.5625,21.618,21.413,21.496,41088000
2015-06-15,21.383,21.4025,21.132,21.1835,41020000
2015-06-16,21.2075,21.3985,21.1335,21.363,45928000
2015-06-17,21.418,21.5675,21.2375,21.3905,43718000
2015-06-18,21.515,21.9865,21.4705,21.9695,67568000
2015-06-19,22.013,22.2495,21.662,21.746,89902000
2015-06-22,21.85,21.962,21.709,21.8145,36472000
2015-06-23,21.7795,22.352,21.6845,22.2995,64900000
2015-06-24,22.2485,22.3235,22.011499,22.042,52416000
2015-06-25,21.9035,22.1735,21.8195,22.0049992,44750000
2015-06-26,22.087999,22.1745,21.753,21.905,52490000
2015-06-29,21.749,21.85,21.45,21.493,55064000
2015-06-30,21.71,21.7785,21.523,21.7045,51938000
2015-07-01,21.9675,22.0,21.779,21.8695,39742000
2015-07-02,21.85,21.91,21.674,21.8855,26868000
2015-07-06,21.7615,21.9865,21.676,21.802,38064000
2015-07-07,21.784,21.8865,21.2785,21.836,69084000
2015-07-08,21.7175,21.7995,21.4415,21.485,47662000
2015-07-09,21.745,21.936,21.7075,21.7195,45428000
2015-07-10,22.0245,22.236,21.95,22.1755,48020000
2015-07-13,22.4145,22.8935,22.377,22.7785,79136000
2015-07-14,23.116,23.48,22.908,23.2785,94724000
2015-07-15,23.152,23.235,23.01,23.0595,59748000
2015-07-16,23.275,23.794,23.24,23.774,81912000
2015-07-17,23.885,24.271,23.8625,24.1505,98644000
2015-07-20,24.6285,24.66,24.27,24.405,95050000
2015-07-21,24.395,24.444,24.1275,24.4,63636000
2015-07-22,24.2995,24.625,24.245,24.4135,62298000
2015-07-23,24.583,24.583,23.785,24.109,187488000
2015-07-24,28.9495,29.0285,26.4675,26.471,438188000
2015-07-27,26.3875,27.2475,26.33,26.5705,149820000
2015-07-28,26.8,26.8195,26.156,26.3015,105462000
2015-07-29,26.546,26.6485,26.251,26.45,75052000
2015-07-30,26.3825,26.96,26.2145,26.838,74862000
2015-07-31,26.9545,27.142,26.726,26.8075,60512000
2015-08-03,26.8725,27.021999,26.468,26.7515,60284000
2015-08-04,26.4845,26.8475,26.458,26.595,58692000
2015-08-05,26.94,26.957,26.706,26.8505,57788000
2015-08-06,26.965,27.137,26.376,26.473,76410000
2015-08-07,26.458,26.473,25.9105,26.131,79384000
2015-08-10,26.426,26.614,26.15,26.2,52318000
2015-08-11,26.1825,26.449,26.1,26.373,53532000
2015-08-12,26.1875,26.375,25.653,26.2955,79246000
2015-08-13,26.3685,26.733,26.2745,26.483,57904000
