Date,Open,High,Low,Close,Volume
2015-01-02,104.24,104.72,102.52,103.6,12303400
2015-01-05,102.76,103.019997,99.9,101.0,18337000
2015-01-06,101.25,103.85,100.11,103.32,15720400
2015-01-07,104.59,104.74,102.029999,102.13,11052200
2015-01-08,102.95,105.34,102.68,105.029999,12942100
2015-01-09,105.24,105.3,102.89,103.019997,10222200
2015-01-12,103.2,103.36,101.21,101.62,7997200
2015-01-13,102.59,102.85,100.010002,100.77,11294400
2015-01-14,99.28,100.18,98.059998,99.58,17808000
2015-01-15,99.67,100.14,96.019997,96.31,18260100
2015-01-16,96.089996,97.8,95.52,96.89,13327900
2015-01-20,98.3,100.21,97.59,100.040001,12105600
2015-01-21,100.75,103.86,100.32,103.29,15186900
2015-01-22,104.6,104.92,103.099998,104.0,11433000
2015-01-23,104.019997,105.2,103.019997,103.11,9873800
2015-01-26,104.4,105.13,103.33,103.99,10664900
2015-01-27,102.89,103.57,100.58,102.94,15659900
2015-01-28,100.3,101.49,97.79,98.45,42144700
2015-01-29,90.53,90.74,87.36,89.81,76561400
2015-01-30,89.6,92.0,88.11,89.080002,36806900
2015-02-02,91.13,91.66,88.61,90.13,18865300
2015-02-03,91.65,91.65,89.9,90.61,13512300
2015-02-04,90.99,91.88,89.48,90.0,14643600
2015-02-05,89.58,89.84,86.099998,87.0,28926200
2015-02-06,87.11,87.4,85.42,85.68,17632100
2015-02-09,85.83,86.75,85.47,86.0,12109500
2015-02-10,87.010002,87.47,86.52,87.26,12043300
2015-02-11,87.58,87.7,85.82,86.0,12391900
2015-02-12,85.6,88.3,85.55,87.099998,15177800
2015-02-13,88.2,89.3,87.65,89.050003,14665200
2015-02-17,88.78,88.99,86.7,86.85,15191700
2015-02-18,87.099998,87.43,86.5,86.74,7422300
2015-02-19,86.81,87.87,86.71,86.89,7604100
2015-02-20,87.25,87.29,86.38,86.64,7821700
2015-02-23,86.51,86.68,85.25,85.47,9367900
2015-02-24,85.53,85.53,83.88,84.69,15846400
2015-02-25,84.38,86.83,84.36,86.19,13645700
2015-02-26,86.92,87.16,85.2,85.37,8763300
2015-02-27,85.95,86.56,85.0,85.12,8377200
2015-03-02,85.0,85.019997,83.75,84.0,11213400
2015-03-03,82.95,83.25,80.029999,81.58,39246100
2015-03-04,80.27,85.826,80.17,85.49,36607200
2015-03-05,85.75,86.27,84.010002,86.099998,18514800
2015-03-06,85.74,86.0,84.050003,84.4,10673700
2015-03-09,84.35,84.35,81.48,82.53,17616500
2015-03-10,81.089996,83.15,80.65,82.97,13817000
2015-03-11,83.0,83.38,81.19,81.99,12768700
2015-03-12,82.099998,82.9,81.53,81.92,11232000
2015-03-13,81.8,81.92,80.77,81.86,12663300
2015-03-16,82.010002,85.2,81.94,84.0,16905700
2015-03-17,84.010002,85.099998,83.51,84.5,17639000
2015-03-18,83.87,85.95,83.3,84.59,35663000
2015-03-19,85.11,87.040001,85.0,85.74,30454700
2015-03-20,86.33,86.8,85.089996,85.2,21181500
2015-03-23,85.25,85.53,84.21,84.25,11184000
2015-03-24,84.35,84.5,82.39,83.63,14545100
2015-03-25,83.94,84.48,82.67,83.75,13507200
2015-03-26,83.2,84.995,82.96,84.17,12208000
2015-03-27,84.78,85.15,83.34,84.58,9703800
2015-03-30,85.029999,85.15,83.75,83.9,10020500
2015-03-31,83.64,84.45,83.2,83.24,11812900
2015-04-01,83.37,83.72,82.18,82.36,14896400
2015-04-02,82.88,83.0,81.25,82.28,19868200
2015-04-06,82.050003,82.59,81.614,81.82,12810500
2015-04-07,81.94,82.95,81.88,82.21,9443000
2015-04-08,83.3,85.54,83.066002,85.39,26161500
2015-04-09,87.029999,87.69,85.2,86.14,27800400
2015-04-10,86.68,86.69,84.15,84.58,18300300
2015-04-13,85.16,85.71,83.82,84.28,15797100
2015-04-14,84.63,85.13,83.53,85.0,11819000
2015-04-15,85.080002,85.36,84.16,84.67,12225800
2015-04-16,85.15,85.4,83.89,84.059998,12048600
2015-04-17,83.080002,83.25,81.61,81.9,22791800
2015-04-20,82.25,82.69,81.52,82.2,13471000
2015-04-21,82.86,82.92,82.14,82.42,10056000
2015-04-22,82.78,82.84,81.52,82.050003,13316900
2015-04-23,81.88,82.75,81.62,82.28,11483300
2015-04-24,82.88,84.99,82.8,84.57,21058400
2015-04-27,85.53,86.27,84.65,84.9,17434200
2015-04-28,85.54,85.57,83.82,85.080002,11110500
2015-04-29,84.059998,84.4,81.64,82.45,21098000
2015-04-30,82.22,82.65,80.44,81.29,14209700
2015-05-01,81.029999,82.25,80.11,81.17,17910500
2015-05-04,81.17,81.56,80.12,80.59,21551500
2015-05-05,80.44,80.9,77.77,79.54,32661900
2015-05-06,79.65,80.85,79.51,80.0,24953500
2015-05-07,88.83,89.29,84.91,86.0,69448800
2015-05-08,87.82,88.27,86.89,87.059998,30140600
2015-05-11,86.7,87.67,86.059998,86.72,19776900
2015-05-12,87.050003,87.5,86.14,86.77,16077800
2015-05-13,87.080002,88.47,87.0,87.53,19015900
2015-05-14,87.74,88.48,87.53,88.4,12087900
2015-05-15,88.51,88.96,88.050003,88.46,13424600
2015-05-18,87.61,87.93,86.61,87.11,13490200
2015-05-19,86.99,88.8,86.47,88.21,20727700
2015-05-20,88.14,90.8,87.3,90.7,29812300
2015-05-21,91.35,94.77,90.92,93.88,40729400
2015-05-22,94.28,95.059998,93.19,93.27,22183300
2015-05-26,93.65,93.92,91.55,92.52,15674900
2015-05-27,92.22,92.99,91.6,92.6,9519300
2015-05-28,91.69,91.93,90.58,90.95,14213000
2015-05-29,91.35,91.5,89.32,89.32,13893200
2015-06-01,90.089996,90.99,89.49,90.78,9905900
2015-06-02,90.55,91.54,90.19,90.51,9865300
2015-06-03,90.51,91.040001,89.9,90.79,9428000
2015-06-04,90.71,91.41,90.27,90.59,8689000
2015-06-05,90.46,91.6,90.46,90.71,11353900
2015-06-08,90.65,91.6,88.243,88.29,15603000
2015-06-09,88.040001,88.18,86.12,87.58,16081800
2015-06-10,87.7,88.99,87.2,88.9,12551300
2015-06-11,89.029999,89.48,87.099998,87.21,13716200
2015-06-12,87.42,87.79,86.48,86.63,9977100
2015-06-15,86.3,87.17,86.050003,86.12,10230400
2015-06-16,86.0029984,86.7,85.61,86.089996,10974200
2015-06-17,86.58,87.8,86.48,86.8,10241500
2015-06-18,86.97,87.59,86.32,86.75,11737200
2015-06-19,86.51,86.6,85.17,85.74,10317000
2015-06-22,86.07,86.4,85.58,85.68,7154200
2015-06-23,85.98,86.34,84.83,85.080002,11411300
