Date,Open,High,Low,Close,Volume
2015-01-02,78.58,78.93,77.7,78.45,18177500
2015-01-05,77.98,79.25,76.86,77.19,26452200
2015-01-06,77.23,77.59,75.36,76.15,27399300
2015-01-07,76.76,77.36,75.82,76.15,22045300
2015-01-08,76.74,78.23,76.080002,78.18,23961000
2015-01-09,78.2,78.62,77.2,77.74,21157000
2015-01-12,77.84,78.0,76.21,76.72,19190200
2015-01-13,77.23,78.080002,75.85,76.45,25179600
2015-01-14,76.42,77.2,76.029999,76.28,25918600
2015-01-15,76.4,76.57,73.54,74.050003,34134000
2015-01-16,74.040001,75.32,73.84,75.18,21791500
2015-01-20,75.72,76.31,74.82,76.24,22821600
2015-01-21,76.16,77.3,75.85,76.74,25096700
2015-01-22,77.17,77.75,76.68,77.65,19519500
2015-01-23,77.65,78.19,77.040001,77.83,16746500
2015-01-26,77.98,78.47,77.29,77.5,19260800
2015-01-27,76.71,76.88,75.63,75.78,20110000
2015-01-28,76.9,77.64,76.0,76.24,53306400
2015-01-29,76.85,78.019997,74.21,78.0,61293500
2015-01-30,78.0,78.16,75.75,75.91,42649500
2015-02-02,76.11,76.14,73.75,74.99,41955300
2015-02-03,75.19,75.58,73.86,75.4,26957700
2015-02-04,75.089996,76.35,75.010002,75.63,20277400
2015-02-05,75.71,75.98,75.21,75.61,15062600
2015-02-06,75.68,75.7,74.25,74.47,21211000
2015-02-09,74.050003,74.83,73.45,74.44,16194300
2015-02-10,74.85,75.34,74.5,75.19,15811300
2015-02-11,75.089996,76.75,75.029999,76.51,20877400
2015-02-12,76.86,76.87,75.89,76.23,17235000
2015-02-13,76.46,76.48,75.5,75.74,18621900
2015-02-17,75.3,76.91,75.080002,75.6,25254400
2015-02-18,75.94,76.9,75.45,76.71,22426400
2015-02-19,76.99,79.84,76.95,79.42,45851200
2015-02-20,79.55,80.34,79.2,79.9,36931700
2015-02-23,79.96,80.19,78.38,78.84,24139100
2015-02-24,78.5,79.48,78.099998,78.45,18897100
2015-02-25,78.5,80.2,78.5,79.56,25593800
2015-02-26,79.88,81.37,79.72,80.41,31111900
2015-02-27,80.68,81.23,78.62,78.97,30739200
2015-03-02,79.0,79.86,78.52,79.75,21662500
2015-03-03,79.61,79.7,78.52,79.6,18635000
2015-03-04,79.3,81.15,78.85,80.9,28126700
2015-03-05,81.23,81.99,81.050003,81.21,27825700
2015-03-06,80.9,81.33,79.83,80.010002,24488600
2015-03-09,79.68,79.91,78.63,79.44,18925100
2015-03-10,78.5,79.26,77.55,77.55,23067100
2015-03-11,77.8,78.43,77.26,77.57,20215700
2015-03-12,78.099998,79.050003,77.91,78.93,16093300
2015-03-13,78.6,79.38,77.68,78.050003,18557300
2015-03-16,77.96,78.12,77.36,78.07,19305400
2015-03-17,78.36,79.78,78.34,79.36,22170000
2015-03-18,79.25,81.24,79.17,80.91,36912400
2015-03-19,81.12,83.0,81.0,82.75,42099500
2015-03-20,83.39,84.6,83.07,83.8,44466300
2015-03-23,83.92,84.96,83.3,84.43,27357300
2015-03-24,84.71,86.07,84.52,85.31,32576500
2015-03-25,85.5,85.52,82.92,82.92,37436100
2015-03-26,82.72,83.77,82.14,83.010002,32794800
2015-03-27,83.38,83.95,82.88,83.3,18372600
2015-03-30,83.81,84.34,82.41,83.2,24527700
2015-03-31,82.9,83.5,82.21,82.22,19734300
2015-04-01,82.5,82.72,80.87,81.67,22058200
