Date,Open,High,Low,Close,Volume
2015-01-02,94.93,95.34,94.050003,94.44,3545700
2015-01-05,94.45,95.050003,93.72,93.73,6441000
2015-01-06,94.080002,94.62,92.94,93.019997,6195000
2015-01-07,95.13,96.23,94.43,95.74,6526300
2015-01-08,96.74,97.91,96.68,97.48,7131600
2015-01-09,97.55,97.67,96.59,96.82,4061500
2015-01-12,96.95,97.34,96.19,96.42,4192700
2015-01-13,96.67,97.49,95.82,96.35,5371300
2015-01-14,95.46,96.8,95.46,96.67,5127800
2015-01-15,97.14,97.32,96.38,96.67,4424000
2015-01-16,96.66,97.43,96.34,97.29,4404400
2015-01-20,98.33,98.33,96.83,97.51,7029500
2015-01-21,97.019997,98.22,96.6,97.4,5031100
2015-01-22,97.48,99.0,97.040001,98.9,7620400
2015-01-23,98.36,98.99,98.099998,98.53,4857700
2015-01-26,98.19,98.95,97.67,98.69,4298700
2015-01-27,97.65,98.050003,95.25,96.72,7365300
2015-01-28,97.21,97.77,95.66,95.72,6280100
2015-01-29,95.72,96.48,94.87,96.029999,4600300
2015-01-30,95.11,95.33,93.56,93.78,7741500
2015-02-02,93.86,95.44,93.6,95.33,6889500
2015-02-03,96.019997,96.56,95.58,96.2,5090400
2015-02-04,96.029999,97.27,96.029999,96.6,5064700
2015-02-05,97.23,97.23,96.41,96.61,4466200
2015-02-06,96.68,97.059998,96.35,96.71,4629200
2015-02-09,96.58,96.91,95.59,95.97,4217100
2015-02-10,96.73,98.099998,96.38,97.99,6797400
2015-02-11,100.050003,100.76,99.2,100.4,9736400
2015-02-12,100.050003,100.5,99.38,100.27,9062300
2015-02-13,100.15,100.15,98.94,99.13,5643000
2015-02-17,98.45,98.71,98.0,98.36,5877800
2015-02-18,98.24,99.49,98.16,99.33,3472500
2015-02-19,99.3,99.6,98.53,98.72,4186300
2015-02-20,98.22,99.07,97.83,99.059998,3945500
2015-02-23,99.16,99.48,98.74,99.45,3075700
2015-02-24,99.45,99.97,99.14,99.58,3389900
2015-02-25,99.68,99.82,98.91,99.5,3366100
2015-02-26,99.15,99.36,98.98,99.07,5722000
2015-02-27,99.22,99.37,98.97,98.98,6461700
2015-03-02,98.98,99.3,98.73,99.0,3613600
2015-03-03,98.82,98.95,98.12,98.4,4148100
2015-03-04,97.72,97.85,97.12,97.36,3884200
2015-03-05,97.7,97.83,97.21,97.23,3537200
2015-03-06,97.0,97.15,95.94,96.17,6466100
2015-03-09,96.0,96.5,95.97,96.040001,4810500
2015-03-10,95.38,95.6,94.43,94.43,5390300
2015-03-11,94.46,94.63,93.45,93.63,4637300
2015-03-12,93.96,95.76,93.84,95.71,4455000
2015-03-13,94.89,95.59,93.94,94.32,4703800
2015-03-16,94.56,95.53,94.48,95.45,4687400
2015-03-17,94.94,95.29,94.059998,94.13,4507400
2015-03-18,93.99,95.050003,92.24,94.64,7692100
2015-03-19,94.43,94.58,93.7,94.099998,4386400
2015-03-20,94.2,95.48,94.099998,95.34,8810400
2015-03-23,95.47,96.12,95.34,95.85,4739400
2015-03-24,96.71,97.16,95.81,95.86,7118600
2015-03-25,96.43,96.44,95.23,95.26,4965600
2015-03-26,95.25,95.98,94.79,95.63,5077700
2015-03-27,95.28,96.16,95.18,95.95,4245600
2015-03-30,96.28,96.68,95.55,96.52,5021200
2015-03-31,96.22,96.59,95.62,95.62,4397600
2015-04-01,95.16,95.28,94.17,95.089996,4241200
2015-04-02,94.78,95.93,94.78,95.69,3586200
2015-04-06,95.53,97.089996,95.53,96.48,4861800
2015-04-07,96.67,96.87,96.19,96.21,3376600
2015-04-08,96.099998,96.6,95.69,96.029999,3879100
2015-04-09,95.83,96.63,95.64,96.35,3487000
2015-04-10,96.28,96.52,96.15,96.2,2704900
2015-04-13,96.010002,96.28,95.48,95.53,3772900
2015-04-14,95.67,96.8,95.39,96.49,4501700
2015-04-15,96.74,97.3,96.5,96.63,3508700
2015-04-16,96.53,96.92,96.21,96.45,3699000
2015-04-17,95.84,96.12,95.36,95.81,4991600
2015-04-20,96.26,96.94,96.24,96.5,4468600
2015-04-21,97.2,97.56,96.54,96.78,4184300
2015-04-22,97.25,97.64,96.68,97.28,5293600
2015-04-23,96.67,97.44,95.45,95.73,7827700
2015-04-24,95.71,95.71,94.51,95.17,5381700
2015-04-27,95.17,95.27,94.46,94.49,5348500
2015-04-28,94.74,94.77,94.019997,94.42,5065900
2015-04-29,94.22,94.47,93.26,94.38,4963600
2015-04-30,94.16,95.33,93.76,95.12,6714400
2015-05-01,95.16,95.62,94.76,95.56,4622300
2015-05-04,95.45,96.25,95.26,95.95,3729400
2015-05-05,96.019997,96.17,95.24,95.42,3502800
2015-05-06,95.92,95.97,94.95,95.48,3376400
2015-05-07,95.15,95.67,94.95,95.15,3157400
2015-05-08,95.91,96.61,95.55,96.55,5231600
2015-05-11,96.27,97.099998,96.12,96.35,3070300
2015-05-12,96.0,96.38,95.0,96.2,4229900
2015-05-13,96.27,96.96,96.17,96.41,3739800
2015-05-14,96.84,98.0,96.74,98.0,4018500
2015-05-15,97.83,98.44,97.75,98.22,3809500
2015-05-18,98.010002,98.33,97.67,98.050003,3328300
2015-05-19,97.94,98.34,97.57,97.95,3323900
2015-05-20,98.0,98.33,97.68,97.69,2789800
2015-05-21,97.4,97.79,96.9,97.2,3406100
2015-05-22,97.21,97.21,96.23,96.26,3311100
2015-05-26,96.059998,96.28,95.5,95.79,3806200
2015-05-27,95.99,96.58,95.71,96.38,4028200
2015-05-28,96.55,97.39,95.93,97.059998,5321700
2015-05-29,97.21,97.24,95.94,96.43,5731700
2015-06-01,96.59,96.59,95.64,95.97,4407000
2015-06-02,95.63,96.35,95.37,96.050003,3959800
2015-06-03,95.82,96.0,95.15,95.3,3248800
2015-06-04,95.010002,95.62,94.12,94.14,4793700
2015-06-05,93.87,93.98,92.9,93.050003,4741200
2015-06-08,93.3,93.41,92.74,92.84,4466600
2015-06-09,92.8,93.32,92.72,93.07,3411900
2015-06-10,93.37,94.080002,93.13,93.69,3892000
2015-06-11,94.0,94.29,93.89,94.089996,3020100
2015-06-12,93.96,94.07,93.44,93.74,3748500
2015-06-15,93.27,93.42,92.54,92.64,7203000
2015-06-16,92.77,93.71,92.58,93.55,2728700
2015-06-17,93.57,94.27,93.25,94.050003,3108900
2015-06-18,94.33,95.52,94.12,95.23,4035400
2015-06-19,94.88,95.31,94.72,94.86,5463300
2015-06-22,95.0,95.88,95.0,95.6,3626700
2015-06-23,95.61,95.74,95.14,95.6,3679900
2015-06-24,95.26,95.77,95.26,95.29,4742000
2015-06-25,95.75,95.99,94.83,94.83,4426400
2015-06-26,95.099998,95.45,94.83,94.91,5119600
2015-06-29,94.4,94.76,93.62,93.69,3625600
2015-06-30,94.51,94.7,93.26,93.34,4188500
2015-07-01,93.8,94.57,93.55,94.52,4808600
2015-07-02,94.6,94.98,94.21,94.66,3209600
2015-07-06,94.040001,94.92,94.010002,94.4,4952400
2015-07-07,94.78,96.66,94.54,96.4,7724800
2015-07-08,95.71,96.28,95.51,95.61,6055100
2015-07-09,97.34,97.35,94.080002,94.59,9932300
2015-07-10,95.42,96.27,95.010002,95.55,7233600
2015-07-13,96.3,97.49,96.16,97.22,7263800
2015-07-14,97.4,97.48,96.73,97.13,4479400
2015-07-15,97.07,97.34,96.32,96.35,5464700
2015-07-16,97.089996,97.34,96.87,96.9,4253000
2015-07-17,96.54,96.82,96.050003,96.78,3573300
2015-07-20,97.080002,97.48,96.8,97.31,3391800
2015-07-21,97.48,97.48,96.84,96.93,3065400
2015-07-22,97.019997,97.48,96.8,97.17,3371300
2015-07-23,97.0,97.37,96.46,96.87,2742900
2015-07-24,96.67,96.89,96.089996,96.18,3631700
2015-07-27,96.029999,96.42,95.33,95.66,4783400
2015-07-28,96.23,96.23,95.64,96.11,4937100
2015-07-29,96.18,96.77,96.050003,96.53,3851100
2015-07-30,96.18,96.88,96.15,96.63,3380700
2015-07-31,97.17,97.17,96.2,96.35,5049600
2015-08-03,96.19,97.48,96.17,97.45,3711100
2015-08-04,97.3,98.0,97.18,97.81,3955000
2015-08-05,98.019997,99.35,97.89,99.19,4320400
2015-08-06,99.66,100.61,99.099998,99.15,6224000
2015-08-07,99.010002,99.45,98.72,99.099998,4608300
2015-08-10,99.52,99.7,98.89,99.089996,4753700
2015-08-11,98.6,98.75,98.15,98.62,3581300
2015-08-12,98.040001,98.43,97.0,98.38,3743300
2015-08-13,98.4,99.23,98.029999,98.79,4190600
2015-08-14,98.83,99.27,98.7,99.23,3375600
2015-08-17,98.82,100.089996,98.75,99.86,3253100
2015-08-18,99.5,100.42,99.5,99.77,4578500
2015-08-19,99.38,99.68,98.64,98.99,3903500
2015-08-20,98.31,98.6,97.98,97.98,3956800
2015-08-21,97.2,97.6,96.099998,96.25,7514400
2015-08-24,91.58,92.33,76.48,91.83,13366900
2015-08-25,94.14,94.14,89.55,89.64,8258100
2015-08-26,91.72,92.63,89.69,92.49,7614100
2015-08-27,93.5,93.99,91.86,93.6,6690000
2015-08-28,93.0,93.84,92.78,93.53,6002300
2015-08-31,92.94,93.33,92.64,92.93,5328000
2015-09-01,91.12,92.16,90.88,91.33,8367800
2015-09-02,91.38,92.16,90.87,91.64,5935400
2015-09-03,92.0,92.75,91.88,92.13,3774100
2015-09-04,91.0,91.54,90.64,90.92,5653600
2015-09-08,91.93,92.4,91.58,92.37,3638200
2015-09-09,93.040001,93.080002,90.5,90.83,4474400
2015-09-10,90.5,91.7,90.43,91.059998,3928100
2015-09-11,90.92,91.64,90.69,91.62,4062600
2015-09-14,91.62,91.64,90.99,91.2,4383600
2015-09-15,91.67,92.34,91.15,92.059998,3725100
2015-09-16,92.35,93.32,92.15,93.07,4152000
2015-09-17,93.31,94.37,92.61,93.37,5300800
2015-09-18,92.19,93.63,91.79,93.050003,9622400
2015-09-21,93.32,94.27,93.23,93.71,3654000
2015-09-22,92.99,93.080002,91.95,92.37,4547900
2015-09-23,92.27,92.7,91.86,92.4,3401600
2015-09-24,91.89,92.86,91.45,92.47,4064000
2015-09-25,92.94,94.18,92.67,93.47,4897200
2015-09-28,92.97,93.65,92.2,92.47,4659200
2015-09-29,92.55,93.36,92.31,93.040001,5632200
2015-09-30,94.059998,94.4,93.53,94.3,5873600
2015-10-01,94.2,94.5,93.13,93.85,5061800
2015-10-02,93.17,94.22,92.53,94.16,5163700
2015-10-05,94.91,95.98,94.59,95.81,5700200
2015-10-06,97.96,98.0,96.73,97.07,7094300
2015-10-07,97.19,98.99,97.080002,98.52,6528200
2015-10-08,97.6,99.010002,97.6,98.97,4683300
2015-10-09,98.9,99.62,98.81,99.47,5607000
2015-10-12,98.95,100.099998,98.69,99.14,4581300
2015-10-13,98.96,99.16,97.89,97.92,5989400
2015-10-14,97.77,98.21,97.41,97.49,4238400
2015-10-15,98.11,98.49,97.43,98.28,5763900
2015-10-16,98.85,99.81,98.3,99.7,5550800
2015-10-19,99.7,100.27,99.52,100.18,4902700
2015-10-20,99.95,100.39,99.67,100.27,3613600
2015-10-21,99.9,100.9,99.74,100.25,4332000
2015-10-22,100.67,103.38,100.33,103.080002,5934800
2015-10-23,103.32,103.44,101.93,102.43,5015800
2015-10-26,102.39,102.81,101.85,102.54,3770700
2015-10-27,102.13,103.2,102.010002,102.94,3995700
2015-10-28,103.11,103.2,101.48,102.74,5164800
2015-10-29,102.089996,103.099998,101.9,102.8,3008100
2015-10-30,102.63,103.24,102.19,102.19,5425800
2015-11-02,102.14,102.58,101.099998,101.4,5007300
2015-11-03,101.16,101.21,99.83,100.92,4174900
2015-11-04,100.89,101.34,100.4,100.62,3345600
2015-11-05,100.62,100.94,100.19,100.61,2834100
2015-11-06,100.07,100.29,99.15,99.72,4660400
2015-11-09,99.48,99.6,98.23,98.88,3959900
2015-11-10,98.5,99.22,98.38,98.83,3367800
2015-11-11,99.28,99.96,99.089996,99.43,3147300
2015-11-12,98.9,99.33,98.34,98.37,3892800
2015-11-13,98.19,98.95,97.81,98.040001,4001000
2015-11-16,97.75,99.66,97.65,99.56,3446600
2015-11-17,99.54,99.88,98.56,98.83,3446500
2015-11-18,99.07,100.38,98.91,100.27,4074200
2015-11-19,100.52,101.37,100.5,100.93,3496000
2015-11-20,101.52,102.15,100.0,100.099998,4800600
2015-11-23,100.48,101.69,100.24,100.85,4604000
2015-11-24,100.33,101.0,100.0,100.63,3405400
2015-11-25,100.53,100.94,100.45,100.5,2906000
2015-11-27,100.089996,100.99,100.089996,100.74,1463400
2015-11-30,100.74,100.97,100.13,100.16,6083300
2015-12-01,100.11,101.12,100.11,101.059998,4473200
2015-12-02,100.36,100.38,99.36,99.48,4361600
2015-12-03,99.62,99.99,98.76,99.089996,5661000
2015-12-04,99.2,101.37,98.54,101.059998,6422700
2015-12-07,101.029999,101.51,100.12,100.67,3408000
2015-12-08,100.4,100.81,99.63,100.17,3385200
2015-12-09,99.53,100.96,98.99,99.13,4195100
2015-12-10,99.31,99.6,98.45,98.9,3926600
2015-12-11,97.93,98.79,97.54,97.78,5429700
2015-12-14,98.089996,98.62,96.81,97.95,6633900
2015-12-15,98.53,99.67,98.2,99.39,5554200
2015-12-16,99.84,101.33,99.65,101.080002,4994500
2015-12-17,101.0,101.11,100.17,100.2,4303600
2015-12-18,99.75,99.76,97.88,97.9,6926800
2015-12-21,98.39,98.64,97.77,98.62,3089100
2015-12-22,98.91,100.07,98.63,99.8,3882100
2015-12-23,100.2,100.76,100.019997,100.64,2929600
2015-12-24,100.51,100.97,100.11,100.54,1044300
2015-12-28,100.39,100.79,100.14,100.68,4017700
2015-12-29,101.11,101.7,100.77,101.45,2362200
2015-12-30,101.51,101.54,100.98,101.15,2333000
2015-12-31,100.53,100.91,99.81,99.92,3041500
2016-01-04,98.56,99.0,97.8,98.77,6689000
2016-01-05,98.81,99.85,98.71,99.45,4893800
2016-01-06,98.38,99.76,98.12,99.48,5483400
2016-01-07,98.46,98.98,97.21,97.57,5440000
2016-01-08,97.83,98.63,96.94,97.21,4853500
2016-01-11,97.34,97.92,96.87,97.44,5638000
2016-01-12,98.41,98.41,97.14,97.62,5185800
2016-01-13,97.47,97.94,96.35,96.5,5161500
2016-01-14,96.4,97.080002,95.66,95.81,6592500
2016-01-15,93.95,94.56,93.3,93.93,8229400
2016-01-19,94.66,96.099998,94.46,95.77,6828900
2016-01-20,94.85,95.42,93.3,93.77,7558100
2016-01-21,94.040001,94.67,93.25,94.47,6076300
2016-01-22,94.88,96.29,94.12,95.85,6946600
2016-01-25,95.92,96.83,95.53,95.94,4407000
2016-01-26,95.91,97.22,95.77,96.32,3735200
2016-01-27,95.89,97.28,95.56,95.94,5795100
2016-01-28,96.43,97.9,96.080002,97.45,5169900
2016-01-29,97.87,99.3,97.58,99.3,7340600
2016-02-01,98.53,99.4,97.52,99.029999,3648100
2016-02-02,98.65,98.68,98.0,98.21,3809900
2016-02-03,98.87,99.029999,97.6,98.72,5146000
2016-02-04,98.68,98.9,97.0,97.39,5212000
2016-02-05,97.64,97.71,96.8,97.32,5574800
2016-02-08,97.14,97.89,96.4,97.52,4729500
2016-02-09,96.69,98.79,96.44,98.28,4994200
2016-02-10,98.21,98.73,97.52,97.62,4505500
2016-02-11,96.39,97.94,96.089996,96.9,5898500
2016-02-12,96.4,98.59,96.15,98.49,5110600
2016-02-16,99.2,99.3,98.099998,98.6,4709700
2016-02-17,99.0,99.89,98.8,99.55,4493200
2016-02-18,99.57,99.97,98.97,99.62,3729100
2016-02-19,98.46,100.19,98.46,99.58,4531300
2016-02-22,99.98,100.56,99.58,99.87,4731500
2016-02-23,99.89,100.0,99.38,99.54,3721100
2016-02-24,99.0,99.75,98.4,99.68,5691200
2016-02-25,99.83,100.7,99.83,100.67,4668900
2016-02-26,100.49,100.54,97.84,98.36,6506200
2016-02-29,98.36,99.019997,97.79,97.82,5955300
2016-03-01,98.5,99.14,98.050003,99.089996,5160200
2016-03-02,98.050003,98.36,97.54,98.33,4180000
2016-03-03,98.35,99.23,98.019997,99.16,4856600
2016-03-04,98.81,100.0,98.57,100.0,7067200
2016-03-07,99.25,99.6,98.97,99.25,5967100
2016-03-08,98.97,100.12,98.75,99.74,4871200
2016-03-09,100.0,100.58,99.74,100.2,5085000
2016-03-10,100.45,100.88,100.019997,100.78,5502800
2016-03-11,101.0,101.41,100.59,101.31,5912400
2016-03-14,101.13,101.45,100.62,100.65,3580500
2016-03-15,100.27,101.57,100.25,101.15,3860300
2016-03-16,100.94,101.34,100.010002,100.83,4176600
2016-03-17,101.0,102.12,100.79,101.87,5635800
2016-03-18,101.67,101.94,101.010002,101.29,7273900
2016-03-21,100.91,102.12,100.32,101.54,4420300
2016-03-22,101.28,101.51,100.43,100.77,3457600
2016-03-23,100.69,101.76,100.53,100.81,3407900
2016-03-24,100.7,100.92,100.15,100.68,3183100
2016-03-28,100.96,101.61,100.82,100.98,3785500
2016-03-29,101.050003,101.64,100.76,101.37,3356700
2016-03-30,101.46,102.89,101.41,102.69,4673600
2016-03-31,102.54,103.45,102.3,102.48,5367700
2016-04-01,101.97,103.89,101.95,103.78,4128600
2016-04-04,103.8,103.95,102.77,103.82,4220400
2016-04-05,103.77,103.93,102.87,103.099998,3589200
2016-04-06,103.25,103.99,102.87,103.92,4196800
2016-04-07,103.34,103.97,103.029999,103.6,6220900
2016-04-08,103.99,105.25,103.9,105.080002,6154500
2016-04-11,105.16,105.77,104.16,104.3,5354000
2016-04-12,104.17,105.12,104.12,104.91,3777200
2016-04-13,105.34,105.35,103.76,104.12,3802400
2016-04-14,102.73,104.089996,102.71,103.16,5593300
2016-04-15,103.24,103.81,103.010002,103.77,4553500
2016-04-18,104.16,104.59,103.5,103.72,7736900
2016-04-19,103.81,104.61,103.76,104.32,4996200
2016-04-20,104.23,104.35,102.39,102.44,4778000
2016-04-21,102.34,102.34,100.42,100.99,7145600
2016-04-22,101.17,102.059998,100.94,101.98,5660200
2016-04-25,101.8,102.83,101.61,102.8,3501300
2016-04-26,103.2,103.4,102.19,102.6,3222900
2016-04-27,102.72,103.36,101.91,102.63,3730900
2016-04-28,102.17,103.15,102.16,102.97,4350200
2016-04-29,102.93,103.17,102.4,102.96,4604000
2016-05-02,102.74,103.87,102.64,103.43,3998100
2016-05-03,103.41,103.93,103.0,103.56,3945400
2016-05-04,103.51,104.44,103.13,104.019997,3852600
2016-05-05,103.87,104.88,103.6,104.21,3401400
2016-05-06,103.68,104.97,103.68,104.96,3547700
2016-05-09,104.92,105.73,104.91,105.28,4432300
2016-05-10,105.43,106.63,105.33,106.57,3885500
2016-05-11,106.26,106.94,105.63,105.72,3424900
2016-05-12,106.13,106.4,105.58,106.099998,3195200
2016-05-13,105.75,106.099998,103.54,104.18,7811500
2016-05-16,103.98,104.65,103.63,104.13,4243200
2016-05-17,104.17,104.38,102.010002,102.37,5443300
2016-05-18,101.95,102.0,100.27,100.91,6970100
2016-05-19,100.75,101.44,100.3,101.33,4722400
2016-05-20,101.71,101.79,100.0,100.099998,5704000
2016-05-23,100.12,100.77,100.0,100.42,4185900
2016-05-24,100.91,101.38,100.69,101.089996,3446300
2016-05-25,101.17,101.6,100.96,101.089996,3223800
2016-05-26,101.2,101.96,101.010002,101.9,4543100
