Date,Open,High,Low,Close,Volume
2023-10-19,144.0,144.0,66.0,68.508,5725
2023-10-20,87.6,93.6,58.2,63.84,251167
2023-10-23,54.48,54.48,46.812,48.0,27533
2023-10-24,42.84,54.0,39.6,52.8,53992
2023-10-25,57.96,65.4,55.32,59.040001,136067
2023-10-26,47.76,51.0,44.4,46.080002,50292
2023-10-27,44.4,47.88,42.12,46.32,16492
2023-10-30,46.56,47.28,42.24,44.52,15292
2023-10-31,41.88,44.040001,39.24,41.88,6667
2023-11-01,41.4,49.8,41.4,45.42,22350
2023-11-02,45.36,49.44,43.68,48.72,18650
2023-11-03,49.2,50.76,47.28,49.56,13058
2023-11-06,48.6,51.924,48.6,51.0,3250
2023-11-07,49.92,58.56,48.936,53.4,43642
2023-11-08,54.0,57.24,49.080002,50.28,18850
2023-11-09,48.24,50.28,46.56,48.0,3575
2023-11-10,48.12,51.6,46.02,48.732,2442
2023-11-13,48.12,50.16,48.0,48.12,1042
2023-11-14,46.32,50.52,46.32,48.0,8608
2023-11-15,47.88,48.48,45.3,47.76,5467
2023-11-16,47.76,48.84,45.96,47.94,2575
2023-11-17,48.0,48.72,46.62,48.0,4667
2023-11-20,49.32,49.32,47.16,48.96,2458
2023-11-21,48.36,48.84,46.32,48.0,2750
2023-11-22,50.040001,50.040001,47.52,48.0,1775
2023-11-24,47.52,48.48,46.8,47.94,1833
2023-11-27,47.4,50.4,46.92,50.4,1750
2023-11-28,49.080002,51.0,47.16,48.96,9783
2023-11-29,48.96,50.88,47.040001,49.32,4658
2023-11-30,48.6,53.88,47.82,52.56,5475
2023-12-01,51.36,54.54,51.36,53.88,2600
2023-12-04,57.24,57.24,46.080002,49.8,18658
2023-12-05,49.2,52.104,48.24,49.32,5700
2023-12-06,48.12,50.28,45.6,45.6,6925
2023-12-07,45.6,47.244,42.72,45.0,4917
2023-12-08,45.0,47.4,41.64,43.92,5083
2023-12-11,43.44,45.288,39.96,42.84,6242
2023-12-12,43.92,45.6,40.8,42.24,9458
2023-12-13,42.48,45.24,33.48,35.4,21725
2023-12-14,35.76,38.4,33.96,34.080002,11550
2023-12-15,34.8,35.64,29.4,32.040001,17300
2023-12-18,31.2,34.5,31.2,33.0,6050
2023-12-19,32.52,33.18,31.56,31.56,6050
2023-12-20,31.92,33.6,27.6,29.7,17725
2023-12-21,30.84,32.784,27.36,27.96,17233
2023-12-22,27.24,29.76,27.24,28.8,10383
2023-12-26,28.8,31.32,28.8,31.2,13950
2023-12-27,31.08,32.16,30.24,32.040001,13217
2023-12-28,31.68,35.040001,31.68,34.56,7350
2023-12-29,33.0,38.16,30.72,38.040001,13533
2024-01-02,37.56,38.040001,36.84,37.62,1200
2024-01-03,37.2,37.2,31.56,32.4,6625
2024-01-04,32.16,34.92,31.98,33.0,6158
2024-01-05,32.88,33.96,32.52,32.64,2383
2024-01-08,32.88,36.96,30.72,32.040001,5183
2024-01-09,31.32,32.4,30.84,31.68,5817
2024-01-10,31.32,32.724,31.08,31.2,1433
2024-01-11,31.2,32.268,30.12,30.6,2533
2024-01-12,30.96,30.96,30.6,30.96,1225
2024-01-16,30.6,32.112,30.6,30.96,917
2024-01-17,30.6,31.32,30.6,31.32,725
2024-01-18,31.32,31.56,30.84,30.96,975
2024-01-19,32.28,34.080002,31.572,32.4,850
2024-01-22,36.12,40.8,31.824,33.6,67283
2024-01-23,33.96,35.28,29.4,30.24,13050
2024-01-24,29.76,31.08,29.28,29.34,5158
2024-01-25,29.28,29.88,27.12,27.48,2267
2024-01-26,26.52,29.148,24.24,27.36,12708
2024-01-29,28.44,28.44,26.88,27.0,4908
2024-01-30,27.12,27.84,24.0,24.0,18542
2024-01-31,23.4,26.040001,23.4,25.32,983
2024-02-01,25.8,27.36,22.92,25.68,23000
2024-02-02,26.16,27.6,24.48,24.84,5608
2024-02-05,24.48,25.26,24.24,24.24,5583
2024-02-06,24.0,25.716,24.0,24.84,10067
2024-02-07,24.24,26.040001,24.24,24.78,1992
2024-02-08,24.84,25.56,24.48,24.48,1117
2024-02-09,25.44,25.44,24.6,24.96,525
2024-02-12,25.2,25.44,23.748,24.72,9158
2024-02-13,24.72,25.44,24.0,24.48,4417
2024-02-14,24.48,26.16,23.4,24.6,6258
2024-02-15,25.08,28.2,24.12,24.96,5258
2024-02-16,25.2,25.32,23.52,24.12,3167
2024-02-20,23.76,23.88,22.92,22.92,1458
2024-02-21,22.08,23.4,22.08,23.4,1442
2024-02-22,24.12,24.66,23.88,24.0,1708
2024-02-23,23.4,23.76,21.96,22.2,9450
2024-02-26,22.68,25.68,22.68,25.2,6458
2024-02-27,24.0,25.32,24.0,24.24,1258
2024-02-28,24.48,24.72,23.64,24.0,2558
