Date,Open,High,Low,Close,Volume
2021-02-05,42.02,63.62,25.32,37.5,3329200
2021-02-08,36.81,44.88,33.45,42.83,746200
2021-02-09,43.25,45.88,39.080002,42.98,251500
2021-02-10,44.5,46.4,40.94,43.75,241600
2021-02-11,43.3,45.0,41.707,42.88,218500
2021-02-12,42.88,48.78,41.09,48.78,233600
2021-02-16,48.88,59.0,48.78,52.22,588500
2021-02-17,52.18,56.0,47.71,49.47,249600
2021-02-18,48.0099983,49.84,45.2,46.19,349700
2021-02-19,46.64,49.5,45.185,48.91,234900
2021-02-22,49.080002,49.080002,45.099998,46.099998,226700
2021-02-23,45.099998,45.55,36.35,43.44,301900
2021-02-24,42.74,53.97,42.22,53.31,337500
2021-02-25,52.0099983,58.41,48.67,54.080002,389700
2021-02-26,51.02,51.5,43.315,44.96,207600
2021-03-01,45.61,48.55,45.6,48.0,183100
2021-03-02,46.32,47.31,42.02,42.59,290500
2021-03-03,43.58,43.83,38.486,40.049999,268500
2021-03-04,39.38,39.38,30.25,33.7,307800
2021-03-05,34.24,36.53,30.17,33.37,352900
2021-03-08,32.02,38.28,30.665,30.96,386400
2021-03-09,31.41,39.86,31.41,37.58,320500
2021-03-10,39.080002,43.99,38.34,40.049999,392400
2021-03-11,41.61,45.96,39.72,42.98,324400
2021-03-12,42.84,44.98,40.71,44.4,146900
2021-03-15,44.93,46.0,40.029999,40.79,147900
2021-03-16,41.14,42.87,39.56,39.86,204400
2021-03-17,40.19,40.19,37.080002,37.97,295900
2021-03-18,37.44,39.99,37.080002,38.71,326100
2021-03-19,40.2,43.55,38.795,40.6,2006900
2021-03-22,39.83,43.91,39.37,43.71,309600
2021-03-23,42.86,42.86,40.16,41.79,319400
2021-03-24,41.56,41.56,38.44,38.7,177200
2021-03-25,39.57,39.57,37.3,39.12,172200
2021-03-26,38.83,40.78,35.91,36.58,149000
2021-03-29,36.58,37.85,35.049999,36.51,206000
2021-03-30,36.5,39.505,35.5,39.060001,90400
2021-03-31,39.22,43.61,37.87,43.099998,183000
2021-04-01,43.43,43.65,38.36,38.78,335600
2021-04-05,39.46,39.78,36.95,38.07,95400
2021-04-06,38.31,41.17,37.23,37.32,105400
2021-04-07,37.48,37.936,34.46,35.2,153200
2021-04-08,35.56,36.71,33.07,33.69,89800
2021-04-09,34.11,34.77,32.0,32.02,97400
2021-04-12,32.19,33.36,30.01,32.13,126700
2021-04-13,32.07,32.07,28.83,29.14,198600
2021-04-14,29.39,34.44,29.224,33.72,158200
2021-04-15,33.74,33.74,30.49,31.5,119800
2021-04-16,31.91,31.91,28.33,30.1,151200
2021-04-19,29.7,31.41,28.24,28.56,59400
2021-04-20,28.46,29.612,25.62,27.25,164600
2021-04-21,27.01,28.96,26.83,27.33,140300
2021-04-22,27.48,30.37,26.75,29.7,94000
2021-04-23,30.02,31.56,29.23,29.75,79900
2021-04-26,30.040001,30.15,28.491,28.9,58600
2021-04-27,29.14,29.292,28.21,28.96,52700
2021-04-28,28.57,29.41,27.45,28.73,63200
2021-04-29,28.97,31.2,28.19,29.67,80100
2021-04-30,28.99,31.19,27.22,28.18,97500
2021-05-03,28.23,29.99,27.39,29.030001,74500
2021-05-04,28.61,28.61,25.255,25.41,92600
2021-05-05,25.31,29.2,25.31,26.87,142000
2021-05-06,26.51,26.51,23.01,23.64,104900
2021-05-07,24.83,26.030001,23.61,24.53,125200
2021-05-10,24.36,24.36,21.94,22.19,103200
2021-05-11,22.040001,24.049999,21.85,23.58,83700
2021-05-12,23.01,23.64,21.265,21.3,72100
2021-05-13,21.73,22.983,18.685,19.7,140000
2021-05-14,19.88,21.21,18.11,19.5,308400
2021-05-17,19.6,21.6,18.53,19.15,147600
2021-05-18,19.3,23.96,19.01,22.56,430200
2021-05-19,22.4,22.5,19.81,20.6,222800
2021-05-20,20.74,22.1,20.65,21.6,124100
2021-05-21,22.049999,23.79,21.01,21.58,148900
2021-05-24,21.63,22.97,19.7,20.13,123700
2021-05-25,20.48,20.495,19.25,19.83,69000
2021-05-26,20.21,21.59,19.53,21.02,96700
2021-05-27,21.23,21.23,20.32,20.54,85100
2021-05-28,20.86,21.79,20.51,21.1,69300
2021-06-01,21.37,21.48,20.01,20.55,85700
2021-06-02,20.57,20.9,19.13,19.78,99900
2021-06-03,19.77,20.17,18.56,19.9,89800
2021-06-04,20.0,20.93,19.67,20.42,109700
2021-06-07,20.11,20.7,18.72,19.15,320800
2021-06-08,19.09,19.81,18.55,18.92,157700
2021-06-09,19.12,21.44,19.12,20.86,134500
2021-06-10,21.0,22.95,20.56,22.27,103400
2021-06-11,22.42,22.42,20.92,21.27,71600
2021-06-14,21.059999,22.96,21.059999,22.31,82900
2021-06-15,22.12,22.43,21.42,21.71,81600
2021-06-16,21.73,21.78,20.5,20.88,55100
2021-06-17,20.72,22.16,20.4,21.19,64400
2021-06-18,20.9,20.97,20.15,20.86,60000
2021-06-21,20.85,21.76,20.3,21.32,68200
2021-06-22,21.31,21.31,19.91,20.31,77900
2021-06-23,20.2,20.94,19.615,20.1,79800
2021-06-24,20.27,21.165,19.75,20.030001,92200
2021-06-25,19.94,23.535,19.77,21.3,773800
2021-06-28,21.31,21.39,20.11,20.33,263100
2021-06-29,20.46,21.685,19.23,19.53,118600
2021-06-30,19.43,19.775,18.64,18.65,229500
2021-07-01,18.83,20.15,18.36,20.059999,141900
2021-07-02,20.2,20.9,19.55,20.38,88100
2021-07-06,20.4,20.845,18.91,19.1,151400
2021-07-07,19.040001,19.040001,17.31,18.15,104000
2021-07-08,18.01,20.5,17.53,19.79,130900
2021-07-09,19.97,19.97,18.86,19.18,102000
2021-07-12,19.18,19.59,17.81,18.22,106300
2021-07-13,18.16,18.16,16.78,16.84,132900
2021-07-14,17.0,17.12,15.49,15.72,160900
2021-07-15,15.69,15.85,14.68,15.44,156200
2021-07-16,15.77,16.49,15.35,15.69,78500
2021-07-19,15.25,15.75,14.65,15.46,83800
2021-07-20,15.39,15.99,14.67,14.76,97800
2021-07-21,14.82,15.32,14.82,14.96,77600
2021-07-22,14.9,14.97,13.98,14.09,118100
2021-07-23,14.14,14.405,12.97,13.0,250300
2021-07-26,12.83,13.84,12.38,12.92,280000
2021-07-27,12.67,13.11,12.03,12.73,217000
2021-07-28,12.77,14.19,12.23,13.78,171800
2021-07-29,13.87,14.135,13.15,13.62,88600
2021-07-30,13.155,13.544,12.42,12.52,53200
2021-08-02,12.87,13.431,12.165,12.45,80600
2021-08-03,12.55,12.98,12.01,12.25,107800
2021-08-04,12.25,13.02,12.08,12.81,64600
2021-08-05,12.81,13.73,12.8,13.35,111700
2021-08-06,13.08,13.86,13.0,13.5,81800
2021-08-09,13.56,14.15,13.2,13.95,71500
2021-08-10,13.63,13.93,12.9,12.95,141500
2021-08-11,12.87,13.72,12.4,13.25,145400
2021-08-12,13.27,13.89,12.6,13.83,195500
2021-08-13,13.89,14.97,12.82,14.14,142800
2021-08-16,14.06,14.06,12.112,12.24,101500
2021-08-17,12.2,13.61,11.78,13.4,216100
2021-08-18,13.38,14.53,13.01,14.03,88000
2021-08-19,13.515,14.3,13.411,13.59,129000
2021-08-20,13.6,13.6,12.88,13.27,107200
2021-08-23,13.55,13.65,12.62,13.11,140300
2021-08-24,13.07,13.73,12.99,13.2,273400
2021-08-25,13.18,13.5,12.91,13.05,365700
2021-08-26,13.32,14.19,13.32,13.71,123800
2021-08-27,13.84,15.87,13.84,15.37,123500
2021-08-30,15.5,16.29,15.095,15.25,124200
2021-08-31,15.17,15.689,14.585,14.69,112900
2021-09-01,14.81,15.19,14.21,14.82,77800
2021-09-02,15.04,16.25,14.905,16.23,151500
2021-09-03,16.13,16.43,15.01,15.53,230500
2021-09-07,15.48,16.13,14.47,15.07,175800
2021-09-08,15.08,15.98,14.36,15.59,141400
2021-09-09,16.19,16.68,15.0,15.67,270900
2021-09-10,15.69,16.02,15.05,15.46,125000
2021-09-13,15.61,16.92,14.89,16.24,158000
2021-09-14,16.31,16.89,15.26,15.65,177800
2021-09-15,15.44,16.59,15.28,15.56,235000
2021-09-16,15.57,15.57,14.28,14.69,230500
2021-09-17,14.88,16.2,14.34,15.36,966900
2021-09-20,15.38,15.4,13.68,14.07,362000
2021-09-21,14.21,14.43,13.31,14.29,150900
2021-09-22,14.46,14.64,13.85,14.22,142400
2021-09-23,14.28,14.28,13.58,13.78,62800
2021-09-24,14.025,14.025,13.26,13.58,85900
2021-09-27,13.53,15.77,13.29,15.09,144300
2021-09-28,14.94,16.115,14.54,15.59,110700
2021-09-29,15.25,16.1,14.995,15.29,70800
2021-09-30,15.095,16.0,15.095,15.68,53700
2021-10-01,15.625,16.0,15.12,15.44,108000
2021-10-04,15.56,15.56,14.69,15.0,30800
2021-10-05,15.16,15.33,14.32,14.82,137100
