Date,Open,High,Low,Close,Volume
2015-01-02,94.91,95.28,92.85,93.75,5865400
2015-01-05,93.28,93.35,91.78,92.38,7789400
2015-01-06,92.57,93.19,91.16,91.89,6793100
2015-01-07,92.72,93.15,92.099998,92.83,6589500
2015-01-08,93.87,94.3,93.56,93.79,7579400
2015-01-09,94.050003,95.27,93.99,94.25,8621300
2015-01-12,94.69,94.76,93.77,94.46,6586200
2015-01-13,95.28,96.43,94.7,95.19,9364300
2015-01-14,94.0,94.8,93.29,94.23,6509300
2015-01-15,94.61,94.96,94.040001,94.35,5662200
2015-01-16,94.0,95.23,93.98,95.18,6117000
2015-01-20,95.22,95.39,93.75,94.74,7940600
2015-01-21,94.37,94.74,93.82,94.17,7474700
2015-01-22,94.58,95.39,94.010002,95.15,7014200
2015-01-23,94.92,95.53,94.43,94.72,4664700
2015-01-26,94.45,95.0,93.93,94.97,5446900
2015-01-27,93.94,94.74,93.36,93.97,5390000
2015-01-28,94.14,94.47,92.61,92.67,6198400
2015-01-29,93.11,93.5,91.52,93.22,7681700
2015-01-30,92.5,92.94,90.83,90.96,10212300
2015-02-02,91.3,92.050003,90.059998,91.93,9392000
2015-02-03,92.43,94.11,92.19,94.099998,12329100
2015-02-04,99.39,101.94,98.82,101.28,32640500
2015-02-05,100.76,102.84,100.51,102.64,14089500
2015-02-06,102.67,102.99,101.65,102.019997,8535200
2015-02-09,101.8,102.5,101.45,101.73,5461800
2015-02-10,101.96,102.19,101.18,101.92,5726300
2015-02-11,102.010002,102.019997,101.07,101.87,5868200
2015-02-12,102.16,103.85,101.7,103.58,6816800
2015-02-13,103.73,104.41,103.43,104.17,5175600
2015-02-17,104.23,104.45,103.57,104.12,4759300
2015-02-18,103.4,104.33,103.4,103.86,3760200
2015-02-19,104.0,104.080002,103.55,103.89,5094100
2015-02-20,103.86,104.69,102.73,104.55,5197000
2015-02-23,104.76,105.23,104.44,104.99,5587100
2015-02-24,104.54,105.050003,104.35,104.67,4098800
2015-02-25,104.68,105.98,104.67,105.57,6547200
2015-02-26,105.5,105.71,104.14,104.56,5049000
2015-02-27,104.67,105.14,103.96,104.080002,4161600
2015-03-02,104.35,105.98,104.35,105.89,5635500
2015-03-03,105.78,106.64,105.21,106.35,4671900
2015-03-04,105.86,106.0,104.78,105.57,4972300
2015-03-05,105.54,105.81,104.87,105.029999,3954700
2015-03-06,104.67,105.0,103.49,103.82,5704200
2015-03-09,103.94,105.42,103.82,105.26,4868900
2015-03-10,104.27,104.35,103.089996,103.089996,6472600
2015-03-11,103.51,104.0,102.87,102.89,4831900
2015-03-12,103.85,107.33,103.81,107.17,10730400
2015-03-13,107.28,107.28,105.52,106.44,8024200
2015-03-16,106.84,107.73,106.050003,107.37,6407300
2015-03-17,107.0,107.21,106.15,106.96,4489400
2015-03-18,106.9,108.42,105.73,107.97,5520600
2015-03-19,107.84,108.48,107.14,107.37,4885600
2015-03-20,107.83,108.94,107.5,108.43,8710100
2015-03-23,108.6,108.85,108.040001,108.22,5667000
2015-03-24,107.72,108.050003,107.080002,107.11,4493500
2015-03-25,107.45,107.46,105.0,105.0,6964700
2015-03-26,104.47,105.82,104.099998,105.24,5915800
2015-03-27,105.2,106.45,104.88,105.48,5330400
2015-03-30,106.059998,106.95,106.050003,106.12,3831900
2015-03-31,105.6,106.32,104.89,104.89,5701600
2015-04-01,105.43,106.0,104.25,105.44,6117200
2015-04-02,105.49,106.24,104.86,106.0,3651600
2015-04-06,105.31,106.57,105.040001,105.63,4153500
2015-04-07,105.8,106.41,105.4,105.43,4694600
2015-04-08,105.23,106.69,105.16,106.36,4277400
2015-04-09,106.51,107.0,105.88,106.77,3924400
2015-04-10,106.73,107.099998,106.41,106.95,3251500
2015-04-13,107.07,107.9,106.47,106.51,4201500
2015-04-14,106.41,107.3,106.11,106.66,5389300
2015-04-15,106.92,107.43,106.86,106.98,4307300
2015-04-16,107.15,108.3,106.9,108.099998,6379100
2015-04-17,107.8,107.8,106.040001,106.69,9663500
2015-04-20,107.83,108.5,107.32,108.22,8094200
2015-04-21,108.93,108.99,107.58,107.68,4579400
2015-04-22,108.019997,108.25,106.97,107.94,4060500
2015-04-23,107.96,109.9,107.61,109.0,5983800
2015-04-24,109.53,110.48,109.19,109.53,6355600
2015-04-27,111.5,111.66,110.07,110.16,8479100
2015-04-28,110.75,111.15,108.89,109.92,7324500
2015-04-29,109.66,110.38,109.26,109.81,6024700
2015-04-30,109.68,110.19,107.68,108.72,7770300
2015-05-01,109.95,110.67,109.27,110.52,6205100
2015-05-04,111.48,111.53,110.5,111.029999,7566200
2015-05-05,113.27,113.3,110.56,110.81,14619300
2015-05-06,111.56,111.96,109.22,109.72,8975300
2015-05-07,109.6,109.78,108.72,109.26,8291200
2015-05-08,110.26,110.7,109.57,110.11,6260600
2015-05-11,110.14,110.14,108.49,108.6,6728500
2015-05-12,108.6,109.66,107.67,109.24,6345000
2015-05-13,109.7,109.87,108.78,109.19,4141400
