Date,Open,High,Low,Close,Volume
2015-01-02,66.33,66.96,64.94,65.69,4503800
2015-01-05,64.73,65.44,64.67,65.13,5004600
2015-01-06,65.41,65.75,64.059998,64.89,4282900
2015-01-07,67.56,67.83,66.27,67.55,8131800
2015-01-08,68.26,68.3,67.4,67.81,4995900
2015-01-09,66.28,66.6,65.51,65.92,7366300
2015-01-12,65.98,66.2,65.38,66.040001,3023000
2015-01-13,66.73,67.23,65.16,65.58,3612600
2015-01-14,64.97,65.14,63.32,64.43,7026200
2015-01-15,64.58,65.21,62.32,62.34,5234800
2015-01-16,62.41,63.39,62.23,63.14,4284100
2015-01-20,63.6,63.75,62.35,63.3,3718700
2015-01-21,63.42,64.27,63.4,64.2,3322300
2015-01-22,64.58,65.65,64.26,65.5,3336600
2015-01-23,66.36,66.52,65.3,65.83,3691700
2015-01-26,65.64,66.18,65.22,66.080002,2418500
2015-01-27,65.3,65.82,65.059998,65.51,2771700
2015-01-28,66.15,66.4,64.86,64.89,2264100
2015-01-29,64.93,65.43,64.25,65.36,2360300
2015-01-30,64.95,64.95,63.82,63.88,2965800
2015-02-02,64.0,64.42,62.46,64.18,3155000
2015-02-03,64.47,66.089996,64.26,66.07,3960900
2015-02-04,64.95,65.38,64.4,64.89,5723200
2015-02-05,64.040001,64.95,63.7,63.7,4680800
2015-02-06,63.97,64.17,63.4,63.73,6499100
2015-02-09,63.56,63.87,63.16,63.69,3302900
2015-02-10,64.16,64.67,63.78,64.52,3104500
2015-02-11,64.65,65.16,64.53,64.76,2136800
2015-02-12,64.86,64.91,64.13,64.66,2284700
2015-02-13,64.4,64.75,64.07,64.32,2897200
2015-02-17,63.49,63.64,62.71,63.64,4618800
2015-02-18,63.69,63.99,63.27,63.52,2547600
2015-02-19,63.52,63.72,62.97,63.0,2958700
2015-02-20,63.060001,63.82,62.51,63.7,4340300
2015-02-23,64.059998,64.27,63.43,64.16,4529700
2015-02-24,64.23,64.45,61.099998,62.099998,12863900
2015-02-25,62.15,64.099998,62.099998,63.58,6970900
2015-02-26,63.71,63.86,62.59,63.58,4891500
2015-02-27,63.68,64.059998,63.27,63.72,3573900
2015-03-02,63.4,64.64,63.26,63.9,4664400
2015-03-03,63.89,64.14,63.0,63.47,2944600
2015-03-04,63.36,63.49,62.65,62.89,2763500
2015-03-05,63.19,63.29,62.83,63.19,2598400
2015-03-06,62.91,63.21,62.7,62.98,2775000
