Date,Open,High,Low,Close,Volume
2015-01-02,49.15143,50.33143,48.73143,49.84857,13475000
2015-01-05,49.25857,49.25857,47.14714,47.31143,18165000
2015-01-06,47.34714,47.64,45.66143,46.50143,16037700
2015-01-07,47.34714,47.42143,46.27143,46.74286,9849700
2015-01-08,47.12,47.83571,46.47857,47.78,9601900
2015-01-09,47.63143,48.02,46.89857,47.041428,9578100
2015-01-12,47.09,47.19857,45.26429,45.54714,12944400
2015-01-13,46.021427,47.048573,45.9,46.25571,18721500
2015-01-14,47.07143,47.37,45.68,46.32,19884900
2015-01-15,46.54714,46.78571,45.84429,46.25143,11669000
2015-01-16,46.85714,48.25,46.38143,48.19143,19696600
2015-01-20,48.57143,50.0,47.71429,49.82857,40551000
2015-01-21,59.23429,59.24,57.41,58.46857,66902500
2015-01-22,58.57143,61.37429,57.82857,61.20572,33319300
2015-01-23,60.98857,62.74286,60.88143,62.49429,26784100
2015-01-26,62.57143,63.89857,61.95714,63.79428,21268800
2015-01-27,63.087143,65.34,63.049999,64.88143,24612700
2015-01-28,64.74143,64.82143,63.081429,63.20857,24532900
2015-01-29,63.20428,63.92714,62.5,63.4,15127700
2015-01-30,63.13286,63.98429,62.65571,63.11428,13215300
2015-02-02,62.84286,63.42857,61.95572,63.0099983,12990600
2015-02-03,63.32,65.46714,62.73,65.27428,16440200
2015-02-04,65.041428,65.17429,63.89,64.10143,12450900
2015-02-05,64.54143,65.13857,63.66571,64.13,14248500
2015-02-06,64.25,64.42857,63.17571,63.48,8898400
2015-02-09,63.19857,63.78571,62.63714,63.29572,8173200
2015-02-10,63.46,65.15714,63.10143,64.85,15418900
2015-02-11,64.83,66.14143,64.55714,64.98428,13953100
2015-02-12,65.058571,65.60714,64.45143,65.24715,8464400
2015-02-13,65.42857,66.63,65.42286,66.58572,12968900
2015-02-17,66.51572,67.37143,65.94428,67.13715,11170600
2015-02-18,67.022858,68.07,66.64571,67.86572,10316600
2015-02-19,67.85714,68.71429,67.57429,67.8,10432100
2015-02-20,67.95,68.37428,67.63715,68.31429,9422000
2015-02-23,68.3,68.31429,67.14286,67.40572,9031400
2015-02-24,67.37286,68.08429,67.35571,67.84,6075300
2015-02-25,67.80714,68.79429,67.80714,68.33286,6854400
2015-02-26,68.62572,69.5,68.43,69.0042877,10852800
2015-02-27,69.081429,69.42857,67.81857,67.84428,11516400
2015-03-02,67.71429,68.60714,67.23428,68.60714,10187100
2015-03-03,68.34428,68.45715,67.50714,67.81571,7426300
2015-03-04,67.53,67.92571,66.18285,67.11,17453800
2015-03-05,67.42857,67.46429,66.42,66.80714,11244800
2015-03-06,66.64286,66.92571,64.84428,64.87428,12888400
2015-03-09,64.99,65.092857,62.82857,63.66143,18970700
2015-03-10,63.015713,63.35143,61.98286,62.15143,17947300
2015-03-11,62.24,63.94,62.24,62.88428,16363200
2015-03-12,63.34714,64.58286,63.34,64.045715,14654500
2015-03-13,63.90714,64.057144,62.36714,62.62857,10161200
2015-03-16,61.54714,61.54714,59.62,60.28143,26796000
2015-03-17,59.71286,60.69429,59.38428,59.78857,18428200
2015-03-18,59.73857,60.65,59.3,60.44571,14634900
2015-03-19,60.46,61.21143,60.25571,60.74429,11449900
2015-03-20,61.33714,61.78571,60.89571,61.18571,13641600
2015-03-23,60.89,61.15571,60.33,60.71429,7664300
2015-03-24,61.13572,63.098572,61.11857,62.61143,16888900
2015-03-25,62.68428,62.69143,60.24429,60.25,21652400
2015-03-26,59.62857,60.44714,59.39,59.75143,16039100
2015-03-27,59.33,59.84714,58.57286,59.25286,15852200
2015-03-30,59.71571,60.56429,59.36428,60.36714,13272700
2015-03-31,60.11,60.42,59.45572,59.52714,14248500
2015-04-01,59.64286,59.78571,58.70286,59.017143,14639800
2015-04-02,59.07143,59.60714,58.86143,59.15429,9864400
2015-04-06,58.76857,60.44714,58.46429,60.33,10730300
2015-04-07,60.49714,60.84857,60.042858,60.49429,9977100
2015-04-08,61.20143,63.10714,61.18428,63.049999,22327900
2015-04-09,63.0,63.13572,62.11428,62.78571,13455400
2015-04-10,64.39714,64.99571,63.94714,64.93857,22367100
2015-04-13,67.24,69.28571,67.057144,67.81143,44436700
2015-04-14,68.85714,69.14286,67.42143,68.38715,28641900
2015-04-15,68.70428,68.70428,67.36429,67.92286,42528500
2015-04-16,76.0,81.25,75.71429,80.29285,104500900
2015-04-17,79.77857,82.14286,79.71429,81.65,58306500
