Date,Open,High,Low,Close,Volume
2019-05-10,42.0,45.0,41.060001,41.57,186322500
2019-05-13,38.79,39.24,36.080002,37.099998,79442400
2019-05-14,38.31,39.96,36.85,39.96,46661100
2019-05-15,39.37,41.88,38.95,41.29,36086100
2019-05-16,41.48,44.060001,41.25,43.0,38115500
2019-05-17,41.98,43.29,41.27,41.91,20225700
2019-05-20,41.19,41.68,39.46,41.59,29222300
2019-05-21,42.0,42.24,41.25,41.5,10802900
2019-05-22,41.049999,41.28,40.5,41.25,9089500
2019-05-23,40.8,41.09,40.02,40.47,11119900
2019-05-24,41.28,41.51,40.5,41.51,8786800
2019-05-28,41.7,41.8,40.6,40.95,13391600
2019-05-29,40.52,40.71,39.147,39.94,14060400
2019-05-30,40.07,40.38,39.5,39.8,26451900
2019-05-31,41.15,41.57,39.41,40.41,23209800
2019-06-03,40.744,41.85,40.24,41.25,16605300
2019-06-04,42.56,42.88,40.7,42.75,23432100
2019-06-05,42.87,45.66,42.5,45.0,28609600
2019-06-06,45.0,45.75,44.28,44.92,16403700
2019-06-07,44.92,45.67,44.13,44.16,12654700
2019-06-10,44.02,44.59,42.53,42.61,11618700
2019-06-11,43.22,43.65,41.8,42.45,9095000
2019-06-12,42.52,42.65,41.71,42.17,5965300
2019-06-13,43.049999,44.35,42.8,44.31,10178900
2019-06-14,44.75,44.8,43.11,43.23,7902200
2019-06-17,43.28,44.078999,42.93,43.78,6557600
2019-06-18,44.3,44.89,43.75,43.86,7313600
2019-06-19,44.46,45.5,43.95,44.86,10331500
2019-06-20,45.029999,45.29,43.51,43.86,9567400
2019-06-21,43.85,44.14,43.38,44.0,4974000
2019-06-24,44.0,44.07,42.82,43.09,5985100
2019-06-25,43.28,43.79,42.443,43.09,5753300
2019-06-26,43.25,43.4,42.36,42.5,8109100
2019-06-27,43.35,45.3,43.2,45.13,20155100
2019-06-28,45.099998,47.080002,45.080002,46.38,28657000
2019-07-01,46.98,47.040001,44.060001,44.27,17660500
2019-07-02,44.55,44.68,43.75,44.0,11881300
2019-07-03,44.0,44.46,43.79,44.23,3380000
2019-07-05,44.31,44.55,43.0099983,43.53,8239500
2019-07-08,43.59,43.85,42.75,42.95,9304100
2019-07-09,43.18,44.23,42.98,44.2,5251600
2019-07-10,44.48,44.8,43.56,43.7,9746500
2019-07-11,44.099998,44.29,43.31,43.99,8050900
2019-07-12,44.16,44.24,43.39,43.99,8760500
2019-07-15,44.2,44.7,43.97,44.53,5811200
2019-07-16,44.6,44.98,44.02,44.13,5613300
2019-07-17,44.060001,44.35,43.52,43.62,5854100
2019-07-18,43.5,43.85,43.19,43.71,4078700
2019-07-19,43.9,44.085999,43.16,43.18,4021000
2019-07-22,43.25,43.72,43.0099983,43.69,3815300
2019-07-23,43.75,44.31,43.11,43.36,5110100
2019-07-24,43.36,43.87,43.36,43.76,3775700
2019-07-25,43.72,43.96,43.21,43.4,4412000
2019-07-26,43.42,44.96,43.39,44.52,7598800
2019-07-29,45.0,45.627,43.12,43.88,8652200
2019-07-30,43.71,43.74,42.49,42.59,7686300
2019-07-31,42.6,42.98,41.84,42.14,5970800
2019-08-01,42.14,42.536,41.0,41.31,7349700
2019-08-02,41.029999,41.060001,39.95,40.4,8225700
2019-08-05,39.35,39.42,38.433,39.049999,9799300
2019-08-06,39.68,40.808,38.36,39.15,8570300
2019-08-07,39.060001,39.99,38.32,39.7,8896000
2019-08-08,41.98,43.0,41.25,42.97,29610500
2019-08-09,39.56,40.68,38.71,40.049999,35138800
2019-08-12,39.83,39.95,37.0,37.0,21231300
2019-08-13,37.0,37.46,36.12,36.45,18990600
2019-08-14,36.0,36.3,33.36,33.96,24481600
2019-08-15,34.52,34.55,32.92,33.22,13265800
2019-08-16,33.46,35.48,33.4,35.23,13883200
2019-08-19,35.53,35.8,34.37,34.61,10853100
2019-08-20,34.48,36.07,34.39,35.29,10760700
2019-08-21,35.5,35.83,34.75,34.91,7923000
2019-08-22,34.8,34.91,33.52,34.0,8513300
2019-08-23,33.65,34.23,33.12,33.43,8160600
2019-08-26,33.67,33.83,33.060001,33.31,5662500
2019-08-27,33.69,34.24,32.98,33.11,6574800
2019-08-28,32.56,33.049999,32.26,32.59,6245500
2019-08-29,32.9,33.3,32.6,32.76,5772200
2019-08-30,33.0,33.13,32.040001,32.57,6628700
2019-09-03,32.099998,32.53,30.665,30.7,12154000
2019-09-04,30.91,32.36,30.85,31.99,10357600
2019-09-05,32.33,33.029999,32.25,32.51,7933300
2019-09-06,32.71,32.74,31.41,31.86,7036000
2019-09-09,32.049999,32.39,31.46,32.24,7448400
2019-09-10,32.0,33.74,31.65,33.51,10817100
2019-09-11,33.38,35.14,33.02,34.0,14715800
2019-09-12,34.14,34.486,33.33,34.07,7734800
2019-09-13,34.25,34.435,32.94,33.25,9428600
2019-09-16,33.6,34.8,33.47,34.43,7942600
2019-09-17,34.75,34.75,33.55,34.29,5561300
2019-09-18,34.35,34.89,33.75,34.26,6608300
2019-09-19,34.2,34.64,33.68,33.82,6869600
2019-09-20,33.98,34.217,32.5,32.6,11935400
2019-09-23,32.52,33.0099983,32.060001,33.0,5513000
2019-09-24,33.0,33.145,31.01,31.3,10579900
2019-09-25,31.27,31.72,30.76,31.68,7875000
2019-09-26,31.72,32.13,31.13,31.57,6058700
2019-09-27,31.71,31.9,30.13,30.29,11846700
2019-09-30,30.4,30.735,30.17,30.47,4986600
2019-10-01,30.37,30.51,28.65,29.15,13380200
2019-10-02,28.67,29.55,28.31,29.0,8782400
2019-10-03,28.97,29.88,28.52,29.72,9412000
2019-10-04,29.9,30.18,28.9,29.67,8597700
2019-10-07,30.6,30.75,29.83,30.37,10083800
2019-10-08,30.01,30.15,29.17,29.28,7769100
2019-10-09,29.62,29.62,28.81,29.07,7112900
2019-10-10,29.21,29.28,28.58,28.87,7716300
2019-10-11,28.95,30.4,28.94,30.13,10216900
2019-10-14,30.22,31.54,29.819,31.12,7945400
2019-10-15,31.2,32.17,31.195,32.0,7843800
2019-10-16,31.8,32.38,31.438,31.87,7781600
2019-10-17,31.8,32.93,31.45,32.62,7200800
2019-10-18,32.55,32.66,31.27,32.060001,7844500
2019-10-21,31.95,32.283,31.185,31.41,7203400
2019-10-22,31.41,33.89,30.22,32.53,19214800
2019-10-23,32.87,33.27,32.17,33.049999,6709800
2019-10-24,33.0,33.42,32.51,33.28,6729300
2019-10-25,33.2,33.48,32.61,32.71,8077300
2019-10-28,32.9,33.355,32.5,33.22,7532800
